0    	30.0000    	40.0000    	0	0	
1    	37.0000    	52.0000    	7	1	1 7   5  30
2    	49.0000    	49.0000    	30	1	2 15   8  29
3    	52.0000    	64.0000    	8	1	3 16  15  33
4    	20.0000    	26.0000    	9	1	5 17  15  15
5    	40.0000    	30.0000    	10	1	6 15   7  13        
6    	21.0000    	47.0000    	5	1	8 12  14  12 
7    	17.0000    	63.0000    	5	1	11 10   7  23 
8    	31.0000    	62.0000    	7	1	13 12  14  15
9    	52.0000    	33.0000    	11	1	16 10   7  24
10    	51.0000    	21.0000   	                 5      1	17 14  12  25
11    	42.0000    	41.0000    	6	1	18 15  15  31 
12    	31.0000    	32.0000    	3	1	21 9   8  31
13     	5.0000    	25.0000    	7	1	24 16  11  34
14    	12.0000    	42.0000    	7	1	27 14  13  27       
15    	36.0000    	16.0000    	3	1	30 18  12  33
16    	12.0000    	42.0000    	7	1	29 8  10  17
17    	52.0000    	64.0000    	8	1	 4 6   5  36
18    	40.0000    	30.0000    	11	1	 7 8  10  15
19    	21.0000    	47.0000    	5	1	 9 6  11  27
20    	21.0000    	47.0000    	5	1	10 16   9  20
21    	17.0000    	63.0000    	5	1	12 10   7  21
22    	31.0000    	62.0000    	8	1	14 7   8  27 
23    	31.0000    	62.0000    	8	1	15 9   6  31
24    	42.0000    	41.0000    	6	1	19 14  13  19
25    	42.0000    	41.0000    	7	1	20 10  13  16
26    	31.0000    	32.0000    	3	1	22 14   7  21
27   	31.0000    	32.0000    	3	1	 23 7   7  29
28     	5.0000    	25.0000    	7	1	25 17  13  26 
29     	5.0000    	25.0000    	8	1	 26 11  10  28
30    	12.0000    	42.0000    	7	1	28 12  11  33 
31    	36.0000    	16.0000    	3	1	31 9  12  23
32    	36.0000    	16.0000    	4	1	32 9   6  34  
