0    	30.0000    	40.0000    	0	0	
1    	37.0000    	52.0000    	7	1	1 7   5  30
2    	49.0000    	49.0000    	30	1	2 15   8  29
3    	52.0000    	64.0000    	16	2	3 16  15  33       4 6   5  36
4    	20.0000    	26.0000    	9	1	5 17  15  15
5    	40.0000    	30.0000    	21	2	6 15   7  13        7 8  10  15
6    	21.0000    	47.0000    	15	3	8 12  14  12       9 6  11  27       10 16   9  20
7    	17.0000    	63.0000    	19	2	11 10   7  23       12 10   7  21
8    	31.0000    	62.0000    	23	3	13 12  14  15        14 7   8  27        15 9   6  31
9    	52.0000    	33.0000    	11	1	16 10   7  24
10    	51.0000    	21.0000   	5	1	17 14  12  25
11    	42.0000    	41.0000    	19	3	18 15  15  31       19 14  13  19       20 10  13  16
12    	31.0000    	32.0000    	29	3	21 9   8  31      22 14   7  21        23 7   7  29
13     	5.0000    	25.0000    	23	3	24 16  11  34       25 17  13  26       26 11  10  28
14    	12.0000    	42.0000    	21	3	27 14  13  27       28 12  11  33        29 8  10  17
15    	36.0000    	16.0000    	10	3	30 18  12  33        31 9  12  23        32 9   6  34
